[2025-01-31 11:08:57,537][INFO][m:optional_rerun_wrapper][fn:set_use_rerun][ln:24] - rerun is installed. Using rerun for logging.
[2025-01-31 11:08:58,216][INFO][m:optional_wandb_wrapper][fn:set_use_wandb][ln:111] - wandb functionality is disabled in the config. Not using wandb for logging.
[2025-01-31 11:08:58,222][DEBUG][m:optional_wandb_wrapper][fn:method][ln:139] - Skipping optional wandb call to 'init' because wandb usage is disabled.
[2025-01-31 11:09:01,994][INFO][m:factory][fn:create_model][ln:304] - Loaded ViT-H-14 model config.
[2025-01-31 11:09:10,804][INFO][m:factory][fn:create_model][ln:391] - Loading pretrained ViT-H-14 weights (laion2b_s32b_b79k).
[2025-01-31 11:09:35,614][DEBUG][m:PngImagePlugin][fn:call][ln:198] - STREAM b'IHDR' 16 13
[2025-01-31 11:09:35,614][DEBUG][m:PngImagePlugin][fn:call][ln:198] - STREAM b'IDAT' 41 8192
[2025-01-31 11:09:35,614][DEBUG][m:PngImagePlugin][fn:call][ln:198] - STREAM b'IHDR' 16 13
[2025-01-31 11:09:35,614][DEBUG][m:PngImagePlugin][fn:call][ln:198] - STREAM b'IDAT' 41 8192
[2025-01-31 11:09:35,627][DEBUG][m:Image][fn:close][ln:637] - Error closing: Operation on closed image
